movie_id,original_title,primary_title,start_year,averagerating,numvotes,id,release_date,movie_title,production_budget,domestic_gross,worldwide_gross,gross_earnings
tt1068242,Footloose,Footloose,2011,5.9,43251,39,"Oct 14, 2011",Footloose,,,,
tt1068242,Footloose,Footloose,2011,5.9,43251,61,"Feb 17, 1984",Footloose,,,,
tt1070781,Good Intentions,Good Intentions,2010,5.2,605,43,"Dec 31, 2009",Good Intentions,,,,
tt1071875,Ghost Rider: Spirit of Vengeance,Ghost Rider: Spirit of Vengeance,2011,4.3,103608,73,"Feb 17, 2012",Ghost Rider: Spirit of Vengeance,,,,
tt1072748,Winchester,Winchester,2018,5.4,24351,95,"Feb 2, 2018",Winchester,,,,
tt1074638,Skyfall,Skyfall,2012,7.8,592221,52,"Nov 8, 2012",Skyfall,,,,
tt1075747,Jonah Hex,Jonah Hex,2010,4.7,51860,40,"Jun 18, 2010",Jonah Hex,,,,
tt1077368,Dark Shadows,Dark Shadows,2012,6.2,229818,89,"May 11, 2012",Dark Shadows,,,,
tt1082807,The Belko Experiment,The Belko Experiment,2016,6.1,38378,21,"Mar 17, 2017",The Belko Experiment,,,,
tt1083452,Eddie the Eagle,Eddie the Eagle,2015,7.4,75331,86,"Feb 26, 2016",Eddie the Eagle,,,,
tt1085448,Lights Out,Lights Out,2010,6.6,10,55,"Jul 22, 2016",Lights Out,,,,
tt1085492,The Prince,The Prince,2014,4.6,16048,53,"Aug 22, 2014",The Prince,,,,
tt1086772,Blended,Blended,2014,6.5,106491,90,"May 23, 2014",Blended,,,,
tt1091191,Lone Survivor,Lone Survivor,2013,7.5,246641,84,"Dec 25, 2013",Lone Survivor,,,,
tt1091821,Noah,Noah,2012,5.6,223,51,"Mar 28, 2014",Noah,,,,
tt1092026,Paul,Paul,2011,7.0,220567,58,"Mar 18, 2011",Paul,,,,
tt1092634,Shanghai,Shanghai,2010,6.4,8662,5,"Oct 2, 2015",Shanghai,,,,
tt1093357,The Darkest Hour,The Darkest Hour,2011,4.9,55071,58,"Dec 25, 2011",The Darkest Hour,,,,
tt1103153,Killers,Killers,2010,5.4,82237,54,"Jun 4, 2010",Killers,,,,
tt1104001,Tron,TRON: Legacy,2010,6.8,296211,89,"Jul 9, 1982",Tron,,,,
tt1106860,Ca$h,Ca$h,2010,6.0,8605,32,"Dec 31, 2008",Ca$h,,,,
tt1106860,Ca$h,Ca$h,2010,6.0,8605,59,"Mar 26, 2010",Ca$h,,,,
tt1109624,Paddington,Paddington,2014,7.2,84679,5,"Jan 16, 2015",Paddington,,,,
tt1111235,Trance,Trance,2010,4.6,77,71,"Apr 5, 2013",Trance,,,,
tt1111235,Trance,Trance,2010,4.6,77,31,"Dec 31, 2012",Trance,,,,
tt1116184,Jackass 3D,Jackass 3D,2010,7.0,53289,98,"Oct 15, 2010",Jackass 3D,,,,
tt1120985,Blue Valentine,Blue Valentine,2010,7.4,170089,25,"Dec 29, 2010",Blue Valentine,,,,
tt1121096,Seventh Son,Seventh Son,2014,5.5,66565,24,"Feb 6, 2015",Seventh Son,,,,
tt1124035,The Ides of March,The Ides of March,2011,7.1,207417,76,"Oct 7, 2011",The Ides of March,,,,
tt1124037,Free State of Jones,Free State of Jones,2016,6.9,45135,81,"Jun 24, 2016",Free State of Jones,,,,
tt1125929,Love Ranch,Love Ranch,2010,5.6,2742,19,"Jun 30, 2010",Love Ranch,,,,
tt1126590,Big Eyes,Big Eyes,2014,7.0,77447,23,"Dec 25, 2014",Big Eyes,,,,
tt1126591,Burlesque,Burlesque,2010,6.4,71021,24,"Nov 24, 2010",Burlesque,,,,
tt1126618,Morning Glory,Morning Glory,2010,6.5,67367,73,"Nov 10, 2010",Morning Glory,,,,
tt1129412,Circle,Circle,2010,3.4,610,69,"Aug 27, 2010",Circle,,,,
tt1130884,Shutter Island,Shutter Island,2010,8.1,1005960,52,"Feb 19, 2010",Shutter Island,,,,
tt1130964,The 5th Quarter,The 5th Quarter,2010,5.7,1379,76,"Mar 25, 2011",The 5th Quarter,,,,
tt1133985,Green Lantern,Green Lantern,2011,5.5,252281,62,"Jun 17, 2011",Green Lantern,,,,
tt1134666,Dwegons and Leprechauns,Dwegons and Leprechauns,2014,4.2,84,14,"Aug 29, 2014",Dwegons and Leprechauns,,,,
tt1135084,Takers,Takers,2010,6.2,53377,95,"Aug 27, 2010",Takers,,,,
tt1137450,Death Wish,Death Wish,2018,6.4,50279,28,"Mar 2, 2018",Death Wish,,,,
tt1137470,Accidental Love,Accidental Love,2015,4.1,7048,55,"Mar 17, 2015",Accidental Love,,,,
tt1139328,The Ghost Writer,The Ghost Writer,2010,7.2,148274,11,"Feb 19, 2010",The Ghost Writer,,,,
tt1142977,Frankenweenie,Frankenweenie,2012,7.0,89489,48,"Oct 5, 2012",Frankenweenie,,,,
tt1147681,After,After,2014,4.7,129,2,"Dec 31, 2012",After,,,,
tt1152398,Beastly,Beastly,2011,5.6,72599,87,"Mar 4, 2011",Beastly,,,,
tt1152822,Freakonomics,Freakonomics,2010,6.4,6466,80,"Oct 1, 2010",Freakonomics,,,,
tt1152830,The Joneses,The Joneses,2011,6.9,87,88,"Apr 16, 2010",The Joneses,,,,
tt1155076,The Karate Kid,The Karate Kid,2010,6.2,146401,77,"Jun 11, 2010",The Karate Kid,,,,
tt1155076,The Karate Kid,The Karate Kid,2010,6.2,146401,63,"Jun 22, 1984",The Karate Kid,,,,
tt1161864,The Rite,The Rite,2011,6.0,85604,100,"Jan 28, 2011",The Rite,,,,
tt1164999,Biutiful,Biutiful,2010,7.5,80382,44,"Jan 28, 2011",Biutiful,,,,
tt1170358,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,2013,7.8,565563,21,"Dec 13, 2013",The Hobbit: The Desolation of Smaug,,,,
tt1171222,Baggage Claim,Baggage Claim,2013,5.1,8296,38,"Sep 27, 2013",Baggage Claim,,,,
tt1175709,All Good Things,All Good Things,2010,6.3,49684,96,"Dec 3, 2010",All Good Things,,,,
tt1178665,A Walk in the Woods,A Walk in the Woods,2015,6.3,22033,75,"Sep 2, 2015",A Walk in the Woods,,,,
tt1179056,A Nightmare on Elm Street,A Nightmare on Elm Street,2010,5.2,85497,49,"Apr 30, 2010",A Nightmare on Elm Street,,,,
tt1179056,A Nightmare on Elm Street,A Nightmare on Elm Street,2010,5.2,85497,17,"Nov 9, 1984",A Nightmare on Elm Street,,,,
tt1179933,10 Cloverfield Lane,10 Cloverfield Lane,2016,7.2,260383,54,"Mar 11, 2016",10 Cloverfield Lane,,,,
